Entidad federativa,2000  a,2005  b,2010  c
Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres
Estados Unidos Mexicanos
Aguascalientes,944285.000000000000,456533.000000000000,487752.000000000000,1065416.000000000000,515364.000000000000,550052.000000000000,1184996.000000000000,576638.000000000000,608358.000000000000
Baja California,2487367.000000000000,1252581.000000000000,1234786.000000000000,2844469.000000000000,1431789.000000000000,1412680.000000000000,3155070.000000000000,1591610.000000000000,1563460.000000000000
Baja California Sur,424041.000000000000,216250.000000000000,207791.000000000000,512170.000000000000,261288.000000000000,250882.000000000000,637026.000000000000,325433.000000000000,311593.000000000000
Campeche,690689.000000000000,344334.000000000000,346355.000000000000,754730.000000000000,373457.000000000000,381273.000000000000,822441.000000000000,407721.000000000000,414720.000000000000
Coahuila de Zaragoza,2298070.000000000000,1140195.000000000000,1157875.000000000000,2495200.000000000000,1236880.000000000000,1258320.000000000000,2748391.000000000000,1364197.000000000000,1384194.000000000000
Colima,542627.000000000000,268192.000000000000,274435.000000000000,567996.000000000000,280005.000000000000,287991.000000000000,650555.000000000000,322790.000000000000,327765.000000000000
Chiapas,3920892.000000000000,1941880.000000000000,1979012.000000000000,4293459.000000000000,2108830.000000000000,2184629.000000000000,4796580.000000000000,2352807.000000000000,2443773.000000000000
Chihuahua,3052907.000000000000,1519972.000000000000,1532935.000000000000,3241444.000000000000,1610275.000000000000,1631169.000000000000,3406465.000000000000,1692545.000000000000,1713920.000000000000
Ciudad de México,8605239.000000000000,4110485.000000000000,4494754.000000000000,8720916.000000000000,4171683.000000000000,4549233.000000000000,8851080.000000000000,4233783.000000000000,4617297.000000000000
Durango,1448661.000000000000,709521.000000000000,739140.000000000000,1509117.000000000000,738095.000000000000,771022.000000000000,1632934.000000000000,803890.000000000000,829044.000000000000
Guanajuato,4663032.000000000000,2233315.000000000000,2429717.000000000000,4893812.000000000000,2329136.000000000000,2564676.000000000000,5486372.000000000000,2639425.000000000000,2846947.000000000000
Guerrero,3079649.000000000000,1491287.000000000000,1588362.000000000000,3115202.000000000000,1499453.000000000000,1615749.000000000000,3388768.000000000000,1645561.000000000000,1743207.000000000000
Hidalgo,2235591.000000000000,1081993.000000000000,1153598.000000000000,2345514.000000000000,1125188.000000000000,1220326.000000000000,2665018.000000000000,1285222.000000000000,1379796.000000000000
Jalisco,6322002.000000000000,3070241.000000000000,3251761.000000000000,6752113.000000000000,3278822.000000000000,3473291.000000000000,7350682.000000000000,3600641.000000000000,3750041.000000000000
México,13096686.000000000000,6407213.000000000000,6689473.000000000000,14007495.000000000000,6832822.000000000000,7174673.000000000000,15175862.000000000000,7396986.000000000000,7778876.000000000000
Michoacán de Ocampo,3985667.000000000000,1911078.000000000000,2074589.000000000000,3966073.000000000000,1892377.000000000000,2073696.000000000000,4351037.000000000000,2102109.000000000000,2248928.000000000000
Morelos,1555296.000000000000,750799.000000000000,804497.000000000000,1612899.000000000000,775311.000000000000,837588.000000000000,1777227.000000000000,858588.000000000000,918639.000000000000
Nayarit,920185.000000000000,456105.000000000000,464080.000000000000,949684.000000000000,469204.000000000000,480480.000000000000,1084979.000000000000,541007.000000000000,543972.000000000000
Nuevo León,3834141.000000000000,1907939.000000000000,1926202.000000000000,4199292.000000000000,2090673.000000000000,2108619.000000000000,4653458.000000000000,2320185.000000000000,2333273.000000000000
Oaxaca,3438765.000000000000,1657406.000000000000,1781359.000000000000,3506821.000000000000,1674855.000000000000,1831966.000000000000,3801962.000000000000,1819008.000000000000,1982954.000000000000
Puebla,5076686.000000000000,2448801.000000000000,2627885.000000000000,5383133.000000000000,2578664.000000000000,2804469.000000000000,5779829.000000000000,2769855.000000000000,3009974.000000000000
Querétaro,1404306.000000000000,680966.000000000000,723340.000000000000,1598139.000000000000,772759.000000000000,825380.000000000000,1827937.000000000000,887188.000000000000,940749.000000000000
Quintana Roo,874963.000000000000,448308.000000000000,426655.000000000000,1135309.000000000000,574837.000000000000,560472.000000000000,1325578.000000000000,673220.000000000000,652358.000000000000
San Luis Potosí,2299360.000000000000,1120837.000000000000,1178523.000000000000,2410414.000000000000,1167308.000000000000,1243106.000000000000,2585518.000000000000,1260366.000000000000,1325152.000000000000
Sinaloa,2536844.000000000000,1264143.000000000000,1272701.000000000000,2608442.000000000000,1294617.000000000000,1313825.000000000000,2767761.000000000000,1376201.000000000000,1391560.000000000000
Sonora,2216969.000000000000,1110590.000000000000,1106379.000000000000,2394861.000000000000,1198154.000000000000,1196707.000000000000,2662480.000000000000,1339612.000000000000,1322868.000000000000
Tabasco,1891829.000000000000,934515.000000000000,957314.000000000000,1989969.000000000000,977785.000000000000,1012184.000000000000,2238603.000000000000,1100758.000000000000,1137845.000000000000
Tamaulipas,2753222.000000000000,1359874.000000000000,1393348.000000000000,3024238.000000000000,1493573.000000000000,1530665.000000000000,3268554.000000000000,1616201.000000000000,1652353.000000000000
Tlaxcala,962646.000000000000,469948.000000000000,492698.000000000000,1068207.000000000000,517477.000000000000,550730.000000000000,1169936.000000000000,565775.000000000000,604161.000000000000
Veracruz de Ignacio de la Llave,6908975.000000000000,3355164.000000000000,3553811.000000000000,7110214.000000000000,3423379.000000000000,3686835.000000000000,7643194.000000000000,3695679.000000000000,3947515.000000000000
Yucatán,1658210.000000000000,818205.000000000000,840005.000000000000,1818948.000000000000,896562.000000000000,922386.000000000000,1955577.000000000000,963333.000000000000,992244.000000000000
Zacatecas,1353610.000000000000,653583.000000000000,700027.000000000000,1367692.000000000000,659333.000000000000,708359.000000000000,1490668.000000000000,726897.000000000000,763771.000000000000

